Rk,Player,Tm,Age,Pos,G,GS,Att,Yds,TD,Lng,Y/A,Y/G,Fmb
1,Chris Johnson*+\JohnCh04,TEN,24,RB,16,16,358,2006,14,91,5.6,125.4,3
2,Steven Jackson*\JackSt00,STL,26,RB,15,15,324,1416,4,58,4.4,94.4,2
3,Thomas Jones\JoneTh00,NYJ,31,RB,16,16,331,1402,14,71,4.2,87.6,2
4,Maurice Jones-Drew*\DrewMa00,JAX,24,RB,16,16,312,1391,15,80,4.5,86.9,2
5,Adrian Peterson*+\PeteAd01,MIN,24,RB,16,15,314,1383,18,64,4.4,86.4,7
6,Ray Rice*\RiceRa00,BAL,22,RB,16,15,254,1339,7,59,5.3,83.7,3
7,Ryan Grant\GranRy00,GNB,27,RB,16,16,282,1253,11,62,4.4,78.3,1
8,Cedric Benson\BensCe00,CIN,27,RB,13,13,301,1251,6,42,4.2,96.2,1
9,Jonathan Stewart\StewJo00,CAR,22,rb,16,3,221,1133,10,67,5.1,70.8,3
10,Ricky Williams\WillRi00,MIA,32,rb,16,7,241,1121,11,68,4.7,70.1,5
11,Frank Gore*\GoreFr00,SFO,26,RB,14,14,229,1120,10,80,4.9,80.0,4
12,Jamaal Charles\CharJa00,KAN,23,RB,15,10,190,1120,7,76,5.9,74.7,4
13,DeAngelo Williams*\WillDe02,CAR,26,RB,13,13,216,1117,7,77,5.2,85.9,3
14,Rashard Mendenhall\MendRa00,PIT,22,RB,16,12,242,1108,7,60,4.6,69.3,3
15,Fred Jackson\JackFr02,BUF,28,RB/wr,16,11,237,1062,2,43,4.5,66.4,4
16,Knowshon Moreno\MoreKn00,DEN,22,RB,16,9,247,947,7,36,3.8,59.2,4
17,Marion Barber\BarbMa01,DAL,26,RB,15,15,214,932,7,35,4.4,62.1,2
18,Matt Forte\FortMa00,CHI,24,RB,16,16,258,929,4,61,3.6,58.1,6
19,Michael Turner\TurnMi00,ATL,27,RB,11,11,178,871,10,58,4.9,79.2,4
20,Jerome Harrison\HarrJe00,CLE,26,rb,14,7,194,862,5,71,4.4,61.6,2
21,Brandon Jacobs\JacoBr00,NYG,27,RB,15,15,224,835,5,31,3.7,55.7,2
22,Joseph Addai\AddaJo00,IND,26,RB,15,15,219,828,10,21,3.8,55.2,1
23,Cadillac Williams\WillCa02,TAM,27,RB,16,15,211,823,4,35,3.9,51.4,1
24,Beanie Wells\WellCh00,ARI,21,,16,0,176,793,7,33,4.5,49.6,4
25,Pierre Thomas\ThomPi00,NOR,25,rb,14,6,147,793,6,34,5.4,56.6,2
26,Ahmad Bradshaw\BradAh00,NYG,23,rb,15,1,163,778,7,38,4.8,51.9,3
27,Laurence Maroney\MaroLa00,NWE,24,rb,15,5,194,757,9,45,3.9,50.5,4
28,Kevin Smith\SmitKe02,DET,23,RB,13,13,217,747,4,31,3.4,57.5,3
29,LaDainian Tomlinson\TomlLa00,SDG,30,RB,14,14,223,730,12,36,3.3,52.1,2
30,Felix Jones\JoneFe00,DAL,22,rb,14,1,116,685,3,56,5.9,48.9,3
31,Julius Jones\JoneJu01,SEA,28,RB,14,14,177,663,2,62,3.7,47.4,0
32,Mike Bell\BellMi00,NOR,26,rb,13,3,172,654,5,35,3.8,50.3,2
33,Ronnie Brown\BrowRo05,MIA,28,RB,9,9,147,648,8,45,4.4,72.0,1
34,Correll Buckhalter\BuckCo00,DEN,31,rb,14,7,120,642,1,45,5.4,45.9,3
35,LeSean McCoy\McCoLe01,PHI,21,rb,16,4,155,637,4,66,4.1,39.8,2
36,Justin Forsett\ForsJu00,SEA,24,rb,16,2,114,619,4,35,5.4,38.7,4
37,Jason Snelling\SnelJa00,ATL,26,rb,14,2,142,613,4,31,4.3,43.8,2
38,Tim Hightower\HighTi00,ARI,23,RB,16,16,143,598,8,50,4.2,37.4,5
39,Michael Bush\BushMi00,OAK,25,rb,16,7,123,589,3,60,4.8,36.8,2
40,Larry Johnson\JohnLa00,2TM,30,,14,7,178,581,0,27,3.3,41.5,2
41,Willis McGahee\McGaWi00,BAL,28,rb,16,1,109,544,12,77,5.0,34.0,1
42,Shonn Greene\GreeSh00,NYJ,24,,14,0,108,540,2,33,5.0,38.6,3
43,Jamal Lewis\LewiJa00,CLE,30,RB,9,8,143,500,0,18,3.5,55.6,0
44,Clinton Portis\PortCl00,WAS,28,RB,8,8,124,494,1,78,4.0,61.8,1
45,Justin Fargas\FargJu00,OAK,29,rb,12,4,129,491,3,35,3.8,40.9,1
46,Marshawn Lynch\LyncMa00,BUF,23,rb,13,6,120,450,2,47,3.8,34.6,3
47,Steve Slaton\SlatSt00,HOU,23,RB,11,10,131,437,3,32,3.3,39.7,7
48,Derrick Ward\WardDe01,TAM,29,rb,14,1,114,409,1,28,3.6,29.2,0
49,Ryan Moats\MoatRy00,HOU,27,rb,14,2,101,390,4,17,3.9,27.9,3
50,Reggie Bush\BushRe00,NOR,24,rb/wr,14,8,70,390,5,55,5.6,27.9,4
51,Willie Parker\ParkWi00,PIT,29,rb,14,3,98,389,0,34,4.0,27.8,2
52,Maurice Morris\MorrMa00,DET,30,rb,14,3,93,384,2,64,4.1,27.4,1
53,Josh Cribbs*+\CribJo01,CLE,26,WR,16,12,55,381,1,37,6.9,23.8,6
54,Darren McFadden\McFaDa00,OAK,22,rb,12,7,104,357,1,28,3.4,29.8,5
55,Tashard Choice\ChoiTa00,DAL,25,,16,0,64,349,3,66,5.5,21.8,0
56,Darren Sproles\SproDa00,SDG,26,rb,16,2,93,343,3,21,3.7,21.4,3
57,Chester Taylor\TaylCh01,MIN,30,,16,0,94,338,1,25,3.6,21.1,2
58,Kevin Faulk\FaulKe00,NWE,33,rb,15,7,62,335,2,29,5.4,22.3,1
59,Leon Washington\WashLe00,NYJ,27,,7,0,72,331,0,33,4.6,47.3,1
60,David Garrard*\GarrDa00,JAX,31,QB,16,16,77,323,3,30,4.2,20.2,14
61,Leonard Weaver*+\WeavLe00,PHI,27,fb,16,8,70,323,2,41,4.6,20.2,0
62,Bernard Scott\ScotBe00,CIN,25,rb,13,2,74,321,0,61,4.3,24.7,1
63,Sammy Morris\MorrSa00,NWE,32,rb,12,5,73,319,2,55,4.4,26.6,2
64,Aaron Rodgers*\RodgAa00,GNB,26,QB,16,16,58,316,5,35,5.4,19.8,10
65,Donald Brown\BrowDo00,IND,22,rb,11,1,78,281,3,45,3.6,25.5,1
66,Vince Young*\YounVi00,TEN,26,QB,12,10,55,281,2,44,5.1,23.4,8
67,Brian Westbrook\WestBr00,PHI,30,rb,8,7,61,274,1,25,4.5,34.3,0
68,Fred Taylor\TaylFr00,NWE,33,rb,6,1,63,269,4,19,4.3,44.8,1
69,Chris Brown\BrowCh03,HOU,28,rb,14,4,79,267,3,13,3.4,19.1,1
70,Arian Foster\FostAr00,HOU,23,rb,6,1,54,257,3,24,4.8,42.8,1
71,Jerious Norwood\NorwJe00,ATL,26,rb,10,4,76,252,0,21,3.3,25.2,1
72,Jason Campbell\CampJa00,WAS,28,QB,16,16,46,236,1,21,5.1,14.8,13
73,Rock Cartwright\CartRo01,WAS,30,rb,16,2,64,228,0,34,3.6,14.3,0
74,Glen Coffee\CoffGl00,SFO,22,rb,14,2,83,226,1,17,2.7,16.1,0
75,LenDale White\WhitLe01,TEN,25,,13,0,64,222,2,11,3.5,17.1,1
76,Chris Jennings\JennCh00,CLE,24,rb,9,1,63,220,1,16,3.5,24.4,0
77,Kahlil Bell\BellKa00,CHI,23,,7,0,40,220,0,72,5.5,31.4,0
78,Ladell Betts\BettLa00,WAS,30,rb,10,2,56,210,2,18,3.8,21.0,0
79,Brad Smith\SmitBr01,NYJ,26,wr,13,2,18,207,1,57,11.5,15.9,0
80,Rashad Jennings\JennRa00,JAX,24,,15,0,39,202,1,28,5.2,13.5,0
81,Quinton Ganther\GantQu00,WAS,25,rb,8,4,62,201,3,13,3.2,25.1,0
82,Matt Cassel\CassMa00,KAN,27,QB,15,15,50,189,0,13,3.8,12.6,14
83,Le'Ron McClain*\McClLe00,BAL,25,FB,16,14,46,180,2,20,3.9,11.3,0
84,Jay Cutler\CutlJa00,CHI,26,QB,16,16,40,173,1,30,4.3,10.8,9
85,Josh Freeman\FreeJo00,TAM,21,QB,10,9,30,161,0,20,5.4,16.1,10
86,Ahman Green\GreeAh00,GNB,32,,8,0,41,160,1,26,3.9,20.0,0
87,Kenneth Darby\DarbKe00,STL,27,rb,16,1,27,152,0,51,5.6,9.5,0
88,Mike Tolbert\TolbMi00,SDG,24,fb,16,3,25,148,1,32,5.9,9.3,1
89,Josh Johnson\JohnJo05,TAM,23,qb,6,4,22,148,0,29,6.7,24.7,7
90,Ryan Fitzpatrick\FitzRy00,BUF,27,QB,10,8,31,141,1,31,4.5,14.1,3
91,Donovan McNabb*\McNaDo00,PHI,33,QB,14,14,37,140,2,27,3.8,10.0,10
92,DeSean Jackson*\JackDe00,PHI,23,WR,15,15,11,137,1,67,12.5,9.1,3
93,Percy Harvin*\HarvPe00,MIN,21,WR,15,8,15,135,0,35,9.0,9.0,1
94,Aaron Brown\BrowAa00,DET,24,wr,15,2,27,131,0,19,4.9,8.7,0
95,Marcus Mason\MasoMa00,WAS,25,,10,0,32,127,0,20,4.0,12.7,0
96,Edgerrin James\JameEd00,SEA,31,,7,0,46,125,0,10,2.7,17.9,1
97,Lynell Hamilton\HamiLy20,NOR,24,rb,9,1,35,125,2,19,3.6,13.9,0
98,Lousaka Polite\PoliLo00,MIA,28,FB,16,9,37,123,0,13,3.3,7.7,1
99,Garrett Wolfe\WolfGa00,CHI,25,,8,0,22,120,1,36,5.5,15.0,0
100,Matt Hasselbeck\HassMa00,SEA,34,QB,14,14,26,119,0,23,4.6,8.5,11